cleanedV	Freq
31st	1
32	7
32000	1
320pm	1
322	1
325000	1
327	1
32º	1
33	10
330	1
33000	6
330pm	2
333	1
338178	1
339	1
33gallon	1
33rd	1
34	7
342	2
34th	1
35	14
350	1
350000	1
35000000	1
350gallon	1
352	1
352016	1
3523	1
355	1
356	3
358	1
35am	1
35m	2
35t	1
35yr	1
36	12
360	6
36310	1
365	1
365000	1
365page	1
36t	1
37	10
370	1
375b	1
38	16
38000	2
382016	1
3836	1
388000	1
38k	1
38t	1
39	12
391	2
393	1
399m	1
39m	1
3b	1
3bb	1
3billion	1
3gallon	1
3k	1
3m	3
3pm	20
3rd	68
3rdtune	1
3thanks	1
3x	1
3yrs	1
4	186
40	31
400	21
4000	7
40000	2
400000	2
40000000	1
400k	2
400m	4
400mnot	1
400myear	1
400pm	1
40k	1
40m	1
40mph	1
40th	1
41	11
4100	1
412	1
4140	1
415	1
4155	1
416	2
418	1
41m	1
41to14	1
42	14
42k	1
43	8
430	3
430m	1
432000	1
4331	1
4339	1
435	1
44	6
446m	1
4485	1
44m	1
44t	1
45	12
450	2
450m	1
458	1
45th	1
46	14
46000	1
460m	1
4613	1
462	2
4641	1
4644	1
465	1
4668m	1
467m	1
46º	1
46stories	1
47	7
4743	1
476k	1
47m	1
47t	1
48	4
48000	1
487b	2
487k	1
49	7
4944	1
49500000	1
497	1
4992343	1
4b	2
4m	3
4our	1
4p	1
4pm	5
4pme	1
4prez	1
4realgreat	1
4saving	1
4t	2
4th	33
4that	1
4ward	2
5	184
50	41
500	16
5000	9
50000	2
500000	1
5000000	1
500b	2
500billion	1
500k	4
500m	2
500million	1
500pm	1
502	1
5050	1
505k	1
50678	1
50b	1
50barrel	1
50k	2
50m	1
50mjust	1
50ooo	1
50th	3
51	6
51152	1
519	1
51yrs	1
52	6
520	1
521	1
522000	1
52500	1
52516	1
52616	1
529	1
529t	1
53	8
530	3
53000	1
530000	1
530pm	5
53112	1
535	1
53rd	1
54	1
5481737	1
55	3
550	3
55000000	1
55198	1
557b	1
55b	1
56	5
5600000	2
5630	1
566000	1
56th	2
57	7
578m	1
57pm	2
57th	8
58	4
5841	1
59	5
59mo	1
59th	2
5b	4
5day	1
5gallon	1
5k	2
5m	36
5pm	8
5star	7
5t	1
5th	20
6	51
60	18
600	12
6000	1
6000000	5
600000000	2
600700	1
600am	1
600k	1
600m	1
600pm	2
60ft	1
60k	2
